severity,category,file,line,id,type,message,snippet,suggestion
"medium","answer_pattern_risk","src/lib/data.ts","317","p4-st2-3","multiple_choice","Correct option is much longer than distractors, which may reveal the answer by pattern.","{a, b, c, d, e} (all unique members combined together from both sets without repeating 'c' twice)","Balance option lengths or shorten the correct answer."
"medium","answer_pattern_risk","src/lib/data.ts","1252","p4-pt1-1","multiple_choice","Correct option is much longer than distractors, which may reveal the answer by pattern.","Any whole number that is exactly divisible by 2 without leaving any remainder (numbers ending in the digits 0, 2, 4, 6, or 8)","Balance option lengths or shorten the correct answer."
"medium","answer_pattern_risk","src/lib/data.ts","1488","p4-pt2-1","multiple_choice","Correct option is much longer than distractors, which may reveal the answer by pattern.","A Factor is a smaller (or equal) whole number that divides the given number cleanly without leaving a remainder (factors of 6: 1, 2, 3, 6)","Balance option lengths or shorten the correct answer."
"medium","answer_pattern_risk","src/lib/data.ts","3433","p4-dm1-3","multiple_choice","Correct option is much longer than distractors, which may reveal the answer by pattern.","The exact numerical total count (number of times) that a particular item, score, or event occurs in the collected data","Balance option lengths or shorten the correct answer."
"medium","answer_pattern_risk","src/lib/data.ts","3585","p4-dm1-11","multiple_choice","Correct option is much longer than distractors, which may reveal the answer by pattern.","writing numbers directly while counting fast-moving items (like cars or entering pupils) forces you to erase and rewrite the total every second","Balance option lengths or shorten the correct answer."
"medium","answer_pattern_risk","src/lib/data.ts","3715","p4-dm2-6","multiple_choice","Correct option is much longer than distractors, which may reveal the answer by pattern.","The Frequency (number of items, people, or score scale, such as 0, 5, 10, 15, 20...) corresponding to the height of each bar","Balance option lengths or shorten the correct answer."
"medium","answer_pattern_risk","src/lib/data.ts","3830","p4-dm2-12","multiple_choice","Correct option is much longer than distractors, which may reveal the answer by pattern.","the Mode is defined strictly as the score that appears MORE FREQUENTLY (most often) than the others","Balance option lengths or shorten the correct answer."
"medium","answer_pattern_risk","src/lib/data.ts","4785","p4-lr1-11","multiple_choice","Correct option is much longer than distractors, which may reveal the answer by pattern.","drawing realistic pictures of thousands of houses, trees, and churches would make the map extremely crowded, messy, and impossible to read","Balance option lengths or shorten the correct answer."
"medium","answer_pattern_risk","src/lib/data.ts","5067","p4-lr3-1","multiple_choice","Correct option is much longer than distractors, which may reveal the answer by pattern.","The distribution and network of all natural water bodies through which surface water and rainwater flow and are stored across our district","Balance option lengths or shorten the correct answer."
"medium","answer_pattern_risk","src/lib/data.ts","5395","p4-wv1-6","multiple_choice","Correct option is much longer than distractors, which may reveal the answer by pattern.","The Relative Humidity of the air (the exact amount or percentage % of water vapor / moisture trapped floating inside the atmosphere at that moment)","Balance option lengths or shorten the correct answer."
"medium","answer_pattern_risk","src/lib/data.ts","6218","p4-pc1-11","multiple_choice","Correct option is much longer than distractors, which may reveal the answer by pattern.","The Luo intermarried with local Bantu societies and established the Babito dynasty over the Bunyoro-Kitara Empire (under Isingoma Rukidi Mpuga)","Balance option lengths or shorten the correct answer."
"medium","answer_pattern_risk","src/lib/data.ts","6500","p4-pc3-1","multiple_choice","Correct option is much longer than distractors, which may reveal the answer by pattern.","A sacred animal, bird, fish, insect, or plant symbol assigned as the central emblem and guardian to every distinct Clan (family lineage)","Balance option lengths or shorten the correct answer."
"medium","answer_pattern_risk","src/lib/data.ts","8185","p4-ss1-2","multiple_choice","Correct option is much longer than distractors, which may reveal the answer by pattern.","Education eradicates illiteracy, imparts practical vocational job skills (DIT skilling), nurtures moral discipline (Empisa) and patriotism","Balance option lengths or shorten the correct answer."
"medium","answer_pattern_risk","src/lib/data.ts","8401","p4-ss2-1","multiple_choice","Correct option is much longer than distractors, which may reveal the answer by pattern.","Road Transport (using highways, tarmac roads, all-weather murram feeder roads, container trucks, buses, taxis/matatus, and Boda-bodas)","Balance option lengths or shorten the correct answer."
"medium","answer_pattern_risk","src/lib/data.ts","8637","p4-ss3-1","multiple_choice","Correct option is much longer than distractors, which may reveal the answer by pattern.","National Water and Sewerage Corporation (NWSC - operating water treatment plants like Ggaba on Lake Victoria and managing urban sewage pipelines)","Balance option lengths or shorten the correct answer."
"medium","answer_pattern_risk","src/lib/data.ts","8675","p4-ss3-3","multiple_choice","Correct option is much longer than distractors, which may reveal the answer by pattern.","The District Police Commander (DPC - working under the Inspector General of Police IGP and collaborating with the RDC and CAO)","Balance option lengths or shorten the correct answer."
"medium","answer_pattern_risk","src/lib/data.ts","12188","p4-al-m2-11","multiple_choice","Correct option is much longer than distractors, which may reveal the answer by pattern.","To act as bedding (litter) that absorbs bird droppings and moisture, insulates the birds from cold concrete floors, and allows natural scratching behavior","Balance option lengths or shorten the correct answer."
"medium","answer_pattern_risk","src/lib/data.ts","12308","p4-al-m3-8","multiple_choice","Correct option is much longer than distractors, which may reveal the answer by pattern.","To detect and condemn diseased meat containing tapeworm cysts (measly pork/beef), anthrax spores, or tuberculosis lesions that could infect human consumers","Balance option lengths or shorten the correct answer."
"medium","answer_pattern_risk","src/lib/data.ts","15260","p4-egw-m1-11","multiple_choice","Correct option is much longer than distractors, which may reveal the answer by pattern.","Our school library at Budo Primary School is a clean, well-lit, and peaceful sanctuary housing over three thousand exciting textbooks and storybooks for pupils to read.","Balance option lengths or shorten the correct answer."
"medium","answer_pattern_risk","src/lib/data.ts","15380","p4-egw-m2-8","multiple_choice","Correct option is much longer than distractors, which may reveal the answer by pattern.","It demonstrates personal affection, cultural respect, and genuine concern for the recipient's family well-being before discussing your own personal news or requests","Balance option lengths or shorten the correct answer."
"medium","answer_pattern_risk","src/lib/data.ts","15529","p4-egw-m3-8","multiple_choice","Correct option is much longer than distractors, which may reveal the answer by pattern.","It stands for the French phrase 'Répondez s'il vous plaît', meaning 'Please reply or respond' to confirm whether or not you will attend so the organizers can reserve exact seating and catering","Balance option lengths or shorten the correct answer."
"medium","answer_pattern_risk","src/lib/data.ts","15620","p4-egw-m4-4","multiple_choice","Correct option is much longer than distractors, which may reveal the answer by pattern.","To ensure accurate, reliable communication so the recipient knows exactly who called, when they called, and what urgent action is required without forgetting or misquoting the message","Balance option lengths or shorten the correct answer."
"medium","answer_pattern_risk","src/lib/data.ts","15674","p4-egw-m4-8","multiple_choice","Correct option is much longer than distractors, which may reveal the answer by pattern.","It states the exact date of absence, names the pupil and class clearly, gives a genuine, verifiable medical reason (malaria at Mengo Hospital), and provides the parent's signature and phone contact for verification","Balance option lengths or shorten the correct answer."
